"";"classe 1";"classe 2";"classe 3";"classe 4"
"loose";0,335;0,385;1;1
"logic";1;0,385;1;0,637
"lock";0,335;0,385;1;1
"ll";0,335;1;1;0,637
"light";0,335;1;1;0,637
"liability";1;1;0,633;0,637
"launch";0,009;1;1;1
"jenner";1;0,385;1;0,637
"jamie";0,335;1;1;0,637
"involve";0,335;0,385;1;1
"interaction";1;0,385;0,633;1
"incredibly";1;0,385;0,633;1
"incorrect";1;1;0,633;0,062
"identify";1;0,041;1;1
"hat";1;1;0,633;0,637
"harris";1;1;0,633;0,637
"float";0,335;0,385;1;1
"financial";1;0,041;1;1
"fascinate";0,335;1;1;0,637
"farm";1;0,041;1;1
"famous";1;0,385;1;0,637
"family";0,335;1;1;0,637
"facebook";1;1;0,061;1
"expose";1;0,385;0,633;1
"experience";0,335;1;1;0,062
"exact";0,335;1;0,633;0,637
"energy";0,335;0,385;1;1
"endorse";0,335;1;1;0,062
"elon";1;0,385;1;0,637
"egg";1;0,385;0,633;1
"efficiency";0,335;1;0,633;1
"dissent";1;1;0,001;1
"disinformation";1;1;0,061;1
"discuss";1;1;1;0,062
"decision";1;0,041;1;1
"dead";1;1;0,633;0,062
"covid";1;0,385;1;0,637
"count";1;1;0,633;0,637
"contact";0,335;1;1;0,637
"congress";0,335;1;0,633;1
"condition";1;0,385;1;0,637
"concert";0,335;1;0,633;1
"chain";1;0,041;1;1
"celebrity";1;0,385;1;0,637
"basic";1;0,041;1;1
"bankrupt";0;1;1;1
"backyard";1;1;0,633;0,062
"att";1;1;1;0,001
"arm";1;0,385;0,633;1
"animal";1;0,385;0,633;1
"alcohol";0,335;0,385;1;1
"advertise";1;0,385;0,633;1
"addictive";0,335;0,385;1;1
"access";0,335;0,385;1;1
"*elonmusk";1;1;1;1
